"Location";"Province_State_country";"Section";"OffPaleolong";"OffPaleolat"
"China_Zhongliangshan";"China";"Zhongliangshan";95,3358;10,6819
"China_Meishan-A";"China";"Meishan-A";103,7261;18,9633
"China_Meishan-quarry_Zhongxin-Dadui";"China";"Meishan-quarry_Zhongxin-Dadui";103,7315;18,9639
"China_Meishan-D";"China";"Meishan-D";103,7265;18,9673
"China_Zhongzhai";"China";"Zhongzhai";96,4241;7,4001
"China_Xinmin";"China";"Xinmin";96,741;7,9116
"China_Dajiang";"China";"Dajiang";97,7782;7,6007
"China_Panlongdong";"China";"Panlongdong";95,4287;13,5731
"China_Jiarong";"China";"Jiarong";97,7264;8,1198
"China_Daxiakou";"China";"Daxiakou";97,4742;14,2537
"China_Yangou_2";"China";"Yangou_2";103,3251;16,2161
"China_Yangou_1";"China";"Yangou_1";103,3365;16,1991
"China_Gaimao";"China";"Gaimao";97,1737;8,3724
"China_Liangfengya";"China";"Liangfengya";95,29;10,7116
"China_Qingyan";"China";"Qingyan";97,3642;8,2678
"China_Pingdingshan";"China";"Pingdingshan";102,0505;18,3964
"China_Longtan";"China";"Longtan";102,5487;19,4477
"China_Quingshan";"China";"Quingshan";102,8016;19,5206
"China_Majiashan";"China";"Majiashan";102,0514;18,3734
"China_Shangsi";"China";"Shangsi";92,8324;12,0614
"China_Dawen";"China";"Dawen";97,9255;7,7173
"China_Huangzhishan";"China";"Huangzhishan";104,0318;18,9997
"China_Dongpan";"China";"Dongpan";100,471;5,4625
"China_Langpai";"China";"Langpai";97,9284;7,6479
"China_Bozhou";"China";"Bozhou";96,7344;9,2578
"China_Chaotian";"China";"Chaotian";93,0965;12,9907
"China_Xiakou";"China";"Xiakou";98,1791;14,771
"China_Dongwan";"China";"Dongwan";95,0755;11,81
"China_Xifanli";"China";"Xifanli";100,9521;15,3817
"China_Taiping";"China";"Taiping";99,6278;6,3811
"China_Motlianling";"China";"Motlianling";99,2891;6,0347
"China_Lilong";"China";"Lilong";98,0711;7,0219
"China_Youping_cascade";"China";"Youping_cascade";98,058;7,028
"China_Shanggang";"China";"Shanggang";98,1326;6,9436
"China_Laren";"China";"Laren";98,5029;6,9498
"China_Qiakong";"China";"Qiakong";98,0998;8,197
"China_Xikou";"China";"Xikou";95,169;15,2199
"Australia_Senecio-1";"Australia";"Senecio-1";83,368;-53,2269
"Australia_Corybas-1";"Australia";"Corybas-1";83,3538;-53,1757
"Australia_Cunaloo-1";"Australia";"Cunaloo-1";88,5297;-46,7984
"Australia_Fortescue_no1";"Australia";"Fortescue_no1";90,332;-46,2993
"Australia_Hope_Island";"Australia";"Hope_Island";87,9263;-46,7531
"Australia_Onslow-1";"Australia";"Onslow-1";88,6614;-46,5665
"New-Zealand_WHK1";"New-Zealand";"WHK1";161,8635;-71,6116
"New-Zealand_ARH-ARJ";"New-Zealand";"ARH-ARJ";159,5871;-69,728
"New-Zealand_ARB";"New-Zealand";"ARB";159,5865;-69,7284
"New-Zealand_ARD-ARE";"New-Zealand";"ARD-ARE";159,5866;-69,7286
"New-Zealand_ARF";"New-Zealand";"ARF";159,5861;-69,7289
"New-Zealand_ARG";"New-Zealand";"ARG";159,5867;-69,7287
"New-Zealand_Kaka_point";"New-Zealand";"Kaka_point";170,1118;-75,8602
"Italy_Bulla";"Italy";"Bulla";25,2941;5,573
"Italy_Tesero";"Italy";"Tesero";25,0421;5,4263
"Italy_Ansiei";"Italy";"Ansiei";25,6912;5,1624
"Italy_Casera_Federata";"Italy";"Casera_Federata";25,7302;5,0692
"Italy_Agordo";"Italy";"Agordo";25,3031;5,1892
